city,region
Laon ,Aisne
Moulins ,Allier
Digne-les-Bains ,Alpes-de-Haute-Provence
Gap ,Hautes-Alpes
Nice ,Alpes-Maritimes
Privas ,Ardèche
Charleville-Mézières ,Ardennes
Foix ,Ariège
Troyes ,Aube
Carcassonne ,Aude
Rodez ,Aveyron
Marseille ,Bouches-du-Rhône
Caen ,Calvados
Aurillac ,Cantal
Angoulême ,Charente
La Rochelle ,Charente-Maritime
Bourges ,Cher
Tulle ,Corrèze
Ajaccio ,Corse-du-Sud
Bastia ,Haute-Corse
Dijon ,Côte-d'Or
Saint-Brieuc ,Côtes-d'Armor
Guéret ,Creuse
Périgueux ,Dordogne
Besançon ,Doubs
Valence ,Drôme
Évreux ,Eure
Chartres ,Eure-et-Loir
Quimper ,Finistère
Nîmes ,Gard
Toulouse ,Haute-Garonne
Auch ,Gers
Bordeaux ,Gironde
Montpellier ,Hérault
Rennes ,Ille-et-Vilaine
Châteauroux ,Indre
Tours ,Indre-et-Loire
Grenoble ,Isère
Lons-le-Saunier ,Jura
Mont-de-Marsan ,Landes
Blois ,Loir-et-Cher
Saint-Étienne ,Loire
Le Puy-en-Velay ,Haute-Loire
Nantes ,Loire-Atlantique
Orléans ,Loiret
Cahors ,Lot
Agen ,Lot-et-Garonne
Mende ,Lozère
Angers ,Maine-et-Loire
Saint-Lô ,Manche
Châlons-en-Champagne ,Marne
Chaumont ,Haute-Marne
Laval ,Mayenne
Nancy ,Meurthe-et-Moselle
Bar-le-Duc ,Meuse
Vannes ,Morbihan
Metz ,Moselle
Nevers ,Nièvre
Lille ,Nord
Beauvais ,Oise
Alençon ,Orne
Arras ,Pas-de-Calais
Clermont-Ferrand ,Puy-de-Dôme
Pau ,Pyrénées-Atlantiques
Tarbes ,Hautes-Pyrénées
Perpignan ,Pyrénées-Orientales
Strasbourg ,Bas-Rhin
Colmar ,Haut-Rhin
Lyon ,Rhône
Vesoul ,Haute-Saône
Mâcon ,Saône-et-Loire
Le Mans ,Sarthe
Chambéry ,Savoie
Annecy ,Haute-Savoie
Paris ,Paris
Rouen ,Seine-Maritime
Melun ,Seine-et-Marne
Versailles ,Yvelines
Niort ,Deux-Sèvres
Amiens ,Somme
Albi ,Tarn
Montauban ,Tarn-et-Garonne
Toulon ,Var
Avignon ,Vaucluse
La Roche-sur-Yon ,Vendée
Poitiers ,Vienne
Limoges ,Haute-Vienne
Épinal ,Vosges
Auxerre ,Yonne
Belfort ,Territoire de Belfort
Évry-Courcouronnes ,Essonne
Nanterre ,Hauts-de-Seine
Bobigny ,Seine-Saint-Denis
Créteil ,Val-de-Marne
"Cergy, Pontoise ",Val-d'Oise