total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,days,Lockdown
128,46,1,1,7.47,2.685,0.058,0.058,105.36,119.53,167.19,1,0
188,60,1,0,10.972,3.502,0.058,0,91.72,101.4,103.37,2,0
265,77,3,2,15.466,4.494,0.175,0.117,97.44,98.01,97.6,3,0
321,56,3,0,18.734,3.268,0.175,0,94.05,94.36,92.04,4,0
382,61,4,1,22.294,3.56,0.233,0.058,92.55,90.51,99.58,5,0
503,121,5,1,29.355,7.062,0.292,0.058,79.19,77.33,90.87,6,1
614,111,5,0,35.833,6.478,0.292,0,72.71,69.44,92.53,7,1
804,190,5,0,46.922,11.088,0.292,0,64.97,61.84,99.74,8,2
959,155,12,7,55.968,9.046,0.7,0.409,48.64,43.19,58.43,9,2
1135,176,20,8,66.239,10.271,1.167,0.467,51.11,32.44,49.53,10,2
1413,278,24,4,82.463,16.224,1.401,0.233,50.11,27.85,48.93,11,2
1705,292,43,19,99.505,17.041,2.51,1.109,49.11,24.39,47,12,2
2051,346,58,15,119.697,20.193,3.385,0.875,48.39,22.51,44,13,2
2460,409,76,18,143.567,23.869,4.435,1.05,50.67,22.32,46.25,14,2
2994,534,106,30,174.731,31.165,6.186,1.751,46.13,21.25,49.64,15,2
3631,637,136,30,211.907,37.176,7.937,1.751,39,18.55,40.46,16,2
4204,573,179,43,245.348,33.441,10.447,2.51,43.76,19.1,38.98,17,2
4749,545,213,34,277.154,31.806,12.431,1.984,45.23,19.48,42.29,18,2
5560,811,276,63,324.484,47.33,16.108,3.677,47.52,20.08,45.95,19,2
6412,852,356,80,374.208,49.723,20.776,4.669,48.49,20.37,46.73,20,2
7431,1019,434,78,433.677,59.469,25.328,4.552,52.28,20.62,53.62,21,2
8603,1172,546,112,502.076,68.399,31.865,6.536,46.08,19.38,48.68,22,2
9762,1159,639,93,569.715,67.64,37.292,5.428,39.1,17.62,33.84,23,2
10866,1104,771,132,634.145,64.43,44.996,7.704,46.02,20.2,38.51,24,2
11750,884,864,93,685.736,51.591,50.423,5.428,49.34,20.92,46.83,25,2
12595,845,1039,175,735.051,49.315,60.637,10.213,50.44,20.01,47.29,26,2
13614,1019,1173,134,794.52,59.469,68.457,7.82,51.58,20.18,46.78,27,2
14697,1083,1339,166,857.724,63.204,78.145,9.688,53.67,20.15,51.5,28,2
15723,1026,1487,148,917.602,59.878,86.782,8.637,48.4,19.57,55.91,29,2
16627,904,1651,164,970.36,52.758,96.353,9.571,46.06,21.01,52.63,30,2
17851,1224,1766,115,1041.794,71.433,103.065,6.711,51.96,22.29,50.98,31,2
18803,952,1867,101,1097.353,55.559,108.959,5.894,54.64,22.87,56.45,32,2
19580,777,2101,234,1142.699,45.346,122.615,13.656,58.08,22.99,61.26,33,2
20549,969,2248,147,1199.25,56.551,131.194,8.579,59.73,23.53,62.25,34,2
21762,1213,2396,148,1270.042,70.791,139.832,8.637,61.7,23.4,68.38,35,2
23097,1335,2511,115,1347.953,77.911,146.543,6.711,52.61,21.61,63.14,36,2
24413,1316,2643,132,1424.755,76.802,154.247,7.704,38.99,19.9,46.45,37,2
25587,1174,2737,94,1493.27,68.515,159.733,5.486,47.64,22.26,42.18,38,2
26551,964,2823,86,1549.53,56.26,164.752,5.019,53.81,23.22,46.84,39,2
27419,868,2945,122,1600.187,50.657,171.872,7.12,58.3,24.5,57.84,40,2
28153,734,3134,189,1643.024,42.837,182.902,11.03,60.18,24.49,60.64,41,2
29214,1061,3315,181,1704.944,61.921,193.465,10.563,61.96,23.6,62.05,42,2
30449,1235,3459,144,1777.019,72.075,201.869,8.404,54.33,21.68,56.28,43,2
31589,1140,3601,142,1843.55,66.531,210.156,8.287,53.46,23.8,58.16,44,2
32655,1066,3684,83,1905.763,62.212,215,4.844,58.88,25.58,55,45,2
33405,750,3751,67,1949.533,43.77,218.91,3.91,60.3,24.69,57.65,46,2
34134,729,3916,165,1992.078,42.545,228.54,9.629,64.27,26.53,64.8,47,2
34842,708,4054,138,2033.397,41.319,236.594,8.054,66.56,27.01,68.2,48,2
35729,887,4177,123,2085.163,51.766,243.772,7.178,67.43,25.83,70.59,49,2
36535,806,4289,112,2132.201,47.039,250.308,6.536,59.55,23.55,65.35,50,2
37190,655,4409,120,2170.428,38.226,257.312,7.003,53,25.04,63.36,51,2
37845,655,4475,66,2208.654,38.226,261.163,3.852,56.93,25.21,61.03,52,2
38245,400,4518,43,2231.998,23.344,263.673,2.51,61.86,25.1,48.79,53,2
38416,171,4566,48,2241.978,9.98,266.474,2.801,65.49,26.87,58.45,54,2
38802,386,4711,145,2264.505,22.527,274.936,8.462,67.31,27.51,59.81,55,2
39316,514,4795,84,2294.502,29.997,279.839,4.902,69.38,27.21,61.28,56,2
39791,475,4893,98,2322.223,27.721,285.558,5.719,62.34,24.39,61.65,57,1
40236,445,4987,94,2348.194,25.97,291.044,5.486,60.4,26.69,64.81,58,1
40571,335,5056,69,2367.744,19.551,295.071,4.027,63.65,28.04,64.46,59,1