days,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
29,19274,1391,435,55,510.676,36.855,11.526,1.457,56.31,17.74,52.77,4681,312,187,8,808.155,53.866,32.285,1.381,86.89,35.29,81.1,52547,3965,389,64,627.173,47.324,4.643,0.764,42.18,29.48,33.95,1007,57,35,2,7.962,0.451,0.277,0.016,127.72,116.13,133.79,15723,1026,1487,148,917.602,59.878,86.782,8.637,48.4,19.57,55.91,5208,273,44,2,960.665,50.357,8.116,0.369,64.39,32.64,62.01,19227,1033,484,52,2221.589,119.358,55.924,6.008,54.62,25.8,61.01
30,20748,1474,509,74,549.73,39.054,13.486,1.961,45.48,16.45,45.36,5071,390,203,16,875.487,67.332,35.047,2.762,89.81,35.24,80.84,57298,4751,455,66,683.878,56.705,5.431,0.788,50,32.39,42.5,1046,39,36,1,8.27,0.308,0.285,0.008,124.82,116.35,134.98,16627,904,1651,164,970.36,52.758,96.353,9.571,46.06,21.01,52.63,5510,302,50,6,1016.372,55.707,9.223,1.107,63.56,32.94,54.89,20201,974,540,56,2334.13,112.541,62.394,6.471,56.98,27.86,62.48
31,22133,1385,569,60,586.426,36.696,15.076,1.59,47.79,16.78,48.43,5402,331,218,15,932.633,57.146,37.637,2.59,74.33,33.76,72.01,61913,4615,583,128,738.96,55.082,6.958,1.528,52.68,35.14,47.88,1089,43,41,5,8.61,0.34,0.324,0.04,128.24,118.84,141.1,17851,1224,1766,115,1041.794,71.433,103.065,6.711,51.96,22.29,50.98,5640,130,58,8,1040.352,23.98,10.699,1.476,81.79,36.26,74.38,21022,821,559,19,2428.992,94.863,64.59,2.195,60.38,27.57,59.32
32,23301,1168,653,84,617.373,30.947,17.302,2.226,35.19,14.93,40.6,5635,233,237,19,972.86,40.226,40.917,3.28,74.66,34.54,73.72,67366,5453,732,149,804.044,65.084,8.737,1.778,53.29,33.52,50.5,1128,39,42,1,8.919,0.308,0.332,0.008,128.82,117.95,142,18803,952,1867,101,1097.353,55.559,108.959,5.894,54.64,22.87,56.45,5755,115,59,1,1061.565,21.213,10.883,0.184,82.87,35.07,74.17,21574,552,584,25,2492.773,63.781,67.478,2.889,64.19,28.91,63.28
33,24365,1064,717,64,645.565,28.191,18.997,1.696,44.73,18.09,41.76,5819,184,247,10,1004.626,31.767,42.644,1.726,71.32,32.59,65.98,73522,6156,872,140,877.519,73.475,10.408,1.671,53.15,33.82,50.82,1193,65,43,1,9.433,0.514,0.34,0.008,121.43,109.55,123.41,19580,777,2101,234,1142.699,45.346,122.615,13.656,58.08,22.99,61.26,5863,108,69,10,1081.486,19.922,12.728,1.845,79.99,36.43,64.54,22164,590,641,57,2560.945,68.172,74.065,6.586,66.9,30.46,67.22
34,25663,1298,780,63,679.956,34.391,20.667,1.669,52.28,18.73,50.75,5996,177,260,13,1035.185,30.558,44.888,2.244,71.54,34.4,69.45,79696,6174,1017,145,951.208,73.69,12.138,1.731,51.46,32.02,48.24,1268,75,45,2,10.026,0.593,0.356,0.016,122.59,102.47,105.55,20549,969,2248,147,1199.25,56.551,131.194,8.579,59.73,23.53,62.25,6010,147,80,11,1108.602,27.116,14.757,2.029,71.7,35.65,67.45,22710,546,705,64,2624.033,63.088,81.459,7.395,64.73,28.46,66.23
35,27046,1383,903,123,716.599,36.643,23.926,3.259,54.67,18.73,50.9,6174,178,273,13,1065.916,30.731,47.132,2.244,73.58,35.26,60.65,85778,6082,1158,141,1023.8,72.591,13.821,1.683,47.44,33.02,59.17,1364,96,46,1,10.785,0.759,0.364,0.008,111.03,91.71,84.38,21762,1213,2396,148,1270.042,70.791,139.832,8.637,61.7,23.4,68.38,6160,150,88,8,1136.271,27.669,16.232,1.476,68.83,36.35,67.97,23495,785,756,51,2714.736,90.703,87.352,5.893,58.77,29.91,68
36,28364,1318,1010,107,751.52,34.921,26.761,2.835,56.14,18.31,53.45,6318,144,285,12,1090.777,24.861,49.204,2.072,77.88,34.36,66.49,91714,5936,1342,184,1094.649,70.849,16.017,2.196,55.02,39.16,75.42,1499,135,49,3,11.852,1.067,0.387,0.024,111.53,99.29,105.3,23097,1335,2511,115,1347.953,77.911,146.543,6.711,52.61,21.61,63.14,6244,84,92,4,1151.766,15.495,16.97,0.738,57.14,31.09,44.77,24228,733,805,49,2799.43,84.695,93.014,5.662,59.63,29.12,68.16
37,30081,1717,1193,183,797.013,45.493,31.609,4.849,61.27,18.64,56.42,6511,193,299,14,1124.097,33.321,51.621,2.417,80.32,37.09,70.92,95391,3677,1434,92,1138.536,43.887,17.115,1.098,58.99,40.67,66.13,1693,194,52,3,13.386,1.534,0.411,0.024,105.3,95.23,105.72,24413,1316,2643,132,1424.755,76.802,154.247,7.704,38.99,19.9,46.45,6320,76,98,6,1165.785,14.019,18.077,1.107,65.55,37.23,56.79,24820,592,831,26,2867.833,68.403,96.018,3.004,51.83,28.31,60.67
38,31872,1791,1309,116,844.467,47.454,34.683,3.073,54.89,18.19,56.27,6681,170,309,10,1153.447,29.35,53.348,1.726,82.37,37.28,74.24,99225,3834,1607,173,1184.296,45.761,19.18,2.065,60.26,40.58,66.37,1866,173,54,2,14.754,1.368,0.427,0.016,97.79,93.59,94.47,25587,1174,2737,94,1493.27,68.515,159.733,5.486,47.64,22.26,42.18,6415,95,103,5,1183.308,17.524,18.999,0.922,76.24,41.67,55.46,25220,400,858,27,2914.051,46.218,99.138,3.12,62.12,31.32,64.43
39,33341,1469,1467,158,883.389,38.922,38.869,4.186,45.1,16.95,44.6,6879,198,321,12,1187.631,34.184,55.419,2.072,85.22,40.06,81.08,103228,4003,1861,254,1232.074,47.778,22.212,3.032,61.92,39.96,67.94,1953,87,56,2,15.442,0.688,0.443,0.016,98.41,92.36,98.5,26551,964,2823,86,1549.53,56.26,164.752,5.019,53.81,23.22,46.84,6488,73,114,11,1196.774,13.466,21.028,2.029,76.83,41.23,59.34,25499,279,858,0,2946.288,32.237,99.138,0,66.63,32.24,59.93
40,34777,1436,1580,113,921.436,38.048,41.863,2.994,58.27,20.48,58.6,7073,194,336,15,1221.124,33.493,58.009,2.59,80.85,38.39,82.95,108202,4974,2107,246,1291.441,59.367,25.148,2.936,58.89,38.54,65.26,1953,0,56,0,15.442,0,0.443,0,99.61,91.56,101.04,27419,868,2945,122,1600.187,50.657,171.872,7.12,58.3,24.5,57.84,6566,78,127,13,1211.162,14.388,23.426,2.398,80.47,45.35,72.18,25753,254,900,42,2975.637,29.348,103.991,4.853,70.18,34.04,67.13
41,36823,2046,1690,110,975.646,54.21,44.778,2.915,57.54,18.99,51.99,7242,169,346,10,1250.301,29.177,59.735,1.726,84.05,42.4,79.49,113525,5323,2373,266,1354.973,63.532,28.323,3.175,51.44,40.24,73.42,2178,225,57,1,17.221,1.779,0.451,0.008,107.26,91.22,100.06,28153,734,3134,189,1643.024,42.837,182.902,11.03,60.18,24.49,60.64,6677,111,130,3,1231.637,20.475,23.98,0.553,81.25,41.48,70.56,26336,583,973,73,3043,67.363,112.426,8.435,71.22,33.46,68.44
42,38413,1590,1834,144,1017.774,42.128,48.593,3.815,59.5,19.29,53.94,7384,142,355,9,1274.817,24.516,61.289,1.554,85.69,41.87,83.64,117658,4133,2544,171,1404.302,49.329,30.364,2.041,51.05,36.2,67.61,2617,439,63,6,20.692,3.471,0.498,0.047,97.79,81.07,82.85,29214,1061,3315,181,1704.944,61.921,193.465,10.563,61.96,23.6,62.05,6791,114,136,6,1252.665,21.028,25.087,1.107,87.04,43.72,76.11,26651,315,1016,43,3079.396,36.397,117.394,4.968,72.89,35.43,72.89
43,40179,1766,1974,140,1064.566,46.791,52.302,3.709,62.07,19.49,57.59,7515,131,364,9,1297.434,22.617,62.843,1.554,88.88,43.19,86.29,120479,2821,2673,129,1437.972,33.67,31.903,1.54,46.1,37.88,67.93,2935,318,69,6,23.206,2.514,0.546,0.047,91.93,82.91,88.32,30449,1235,3459,144,1777.019,72.075,201.869,8.404,54.33,21.68,56.28,6791,0,136,0,1252.665,0,25.087,0,84.42,42.25,79.97,26997,346,1058,42,3119.375,39.979,122.247,4.853,67.98,33.75,71.94
44,42099,1920,2146,172,1115.437,50.871,56.859,4.557,69.4,20.44,63.55,7695,180,370,6,1328.51,31.076,63.879,1.036,91.11,42.56,88.04,123016,2537,2799,126,1468.253,30.28,33.407,1.504,53.67,38.77,54.13,3271,336,70,1,25.863,2.657,0.553,0.008,87.35,78.3,84.77,31589,1140,3601,142,1843.55,66.531,210.156,8.287,53.46,23.8,58.16,6984,193,148,12,1288.266,35.601,27.3,2.214,86.32,46.41,80.64,27322,325,1110,52,3156.927,37.552,128.255,6.008,66.18,35.2,67.65
45,43877,1778,2302,156,1162.546,47.109,60.993,4.133,61.33,19.56,63.76,7912,217,384,14,1365.974,37.464,66.296,2.417,93.2,45.63,90.22,125098,2082,2969,170,1493.102,24.85,35.436,2.029,61.19,41.62,55.07,3654,383,73,3,28.891,3.028,0.577,0.024,83.74,73.88,79.34,32655,1066,3684,83,1905.763,62.212,215,4.844,58.88,25.58,55,7068,84,154,6,1303.76,15.495,28.407,1.107,90.86,47.91,83.64,27658,336,1134,24,3195.751,38.823,131.028,2.773,68.48,34.66,61.7
46,45341,1464,2465,163,1201.336,38.79,65.312,4.319,49.16,18.08,47.31,8073,161,394,10,1393.77,27.796,68.022,1.726,92.28,44.02,88.08,127584,2486,3254,285,1522.774,29.672,38.838,3.402,63.04,43.22,63.21,3817,163,80,7,30.18,1.289,0.633,0.055,81.2,70.69,75.52,33405,750,3751,67,1949.533,43.77,218.91,3.91,60.3,24.69,57.65,7113,45,154,0,1312.061,8.301,28.407,0,91.42,50.36,90.22,27826,168,1141,7,3215.162,19.412,131.837,0.809,70.2,34.56,63.66
47,46884,1543,2560,95,1242.218,40.883,67.829,2.517,62.59,21.78,61.18,8210,137,403,9,1417.423,23.652,69.576,1.554,85.8,43.87,87.26,130450,2866,3569,315,1556.981,34.207,42.598,3.76,65.48,44.83,69.23,3906,89,80,0,30.883,0.704,0.633,0,79.75,68.03,72.25,34134,729,3916,165,1992.078,42.545,228.54,9.629,64.27,26.53,64.8,7166,53,163,9,1321.837,9.776,30.067,1.66,92.76,51.16,86.79,27981,155,1186,45,3233.072,17.91,137.037,5.2,74.07,37.65,69.95
48,48489,1605,2707,147,1284.744,42.525,71.724,3.895,64.78,21.66,62.65,8445,235,418,15,1457.994,40.572,72.166,2.59,85.75,45.5,75.37,133830,3380,3868,299,1597.323,40.342,46.166,3.569,64.69,43.47,69.5,4257,351,81,1,33.658,2.775,0.64,0.008,85.41,69.34,75.47,34842,708,4054,138,2033.397,41.319,236.594,8.054,66.56,27.01,68.2,7250,84,169,6,1337.332,15.495,31.174,1.107,95,49.83,84.53,28186,205,1216,30,3256.758,23.687,140.503,3.466,75.19,36.13,70.87
49,50015,1526,2859,152,1325.176,40.432,75.751,4.027,66.72,21.3,63.49,8575,130,422,4,1480.438,22.444,72.857,0.691,86.22,42.76,75.19,137439,3609,4110,242,1640.398,43.075,49.055,2.888,57.58,42.91,69.57,4667,410,85,4,36.9,3.242,0.672,0.032,69.08,56.65,56.71,35729,887,4177,123,2085.163,51.766,243.772,7.178,67.43,25.83,70.59,7345,95,180,11,1354.856,17.524,33.203,2.029,95.99,47.37,74.38,28414,228,1267,51,3283.103,26.344,146.396,5.893,76.14,36.07,75.27
50,51587,1572,2996,137,1366.827,41.651,79.381,3.63,68.45,21.97,62.18,8698,123,427,5,1501.674,21.235,73.72,0.863,89.35,43.49,82.19,139897,2458,4294,184,1669.735,29.337,51.251,2.196,63.82,46.65,75.93,5347,680,88,3,42.277,5.376,0.696,0.024,67.85,57.7,46.81,36535,806,4289,112,2132.201,47.039,250.308,6.536,59.55,23.55,65.35,7408,63,191,11,1366.477,11.621,35.232,2.029,86.21,43.94,78.86,28595,181,1308,41,3304.016,20.914,151.133,4.737,69.71,34.43,72.22
51,53236,1649,3184,188,1410.518,43.691,84.362,4.981,78.5,23.68,74.84,8851,153,434,7,1528.089,26.415,74.928,1.209,88.06,41.71,69.03,141672,1775,4404,110,1690.921,21.185,52.564,1.313,66.95,47.02,66.52,6748,1401,98,10,53.354,11.077,0.775,0.079,74.14,61.63,63.73,37190,655,4409,120,2170.428,38.226,257.312,7.003,53,25.04,63.36,7467,59,193,2,1377.36,10.883,35.601,0.369,93.6,48.34,72.67,28811,216,1328,20,3328.974,24.958,153.444,2.311,69.02,37.92,65.37
52,55061,1825,3391,207,1458.873,48.354,89.846,5.485,68.25,22.42,69.67,9008,157,443,9,1555.194,27.105,76.482,1.554,90.64,44.71,68.65,143457,1785,4598,194,1712.225,21.305,54.879,2.315,68.02,44.89,66.47,7255,507,102,4,57.362,4.009,0.806,0.032,78.43,64.82,72.88,37845,655,4475,66,2208.654,38.226,261.163,3.852,56.93,25.21,61.03,7505,38,193,0,1384.369,7.009,35.601,0,89.08,47.27,64.22,28978,167,1336,8,3348.27,19.296,154.368,0.924,75.27,40.88,69.1
53,56714,1653,3566,175,1502.67,43.797,94.483,4.637,58.95,22.67,65.53,9158,150,452,9,1581.091,25.897,78.036,1.554,94.39,47.39,84.29,145694,2237,4879,281,1738.925,26.7,58.233,3.354,69.71,46.87,68.86,7645,390,109,7,60.446,3.084,0.862,0.055,77.49,63.57,70.81,38245,400,4518,43,2231.998,23.344,263.673,2.51,61.86,25.1,48.79,7533,28,193,0,1389.534,5.165,35.601,0,92.22,48.01,72.91,29081,103,1352,16,3360.171,11.901,156.217,1.849,73.68,38.42,58.86
54,59474,2760,3682,116,1575.798,73.128,97.557,3.073,69.42,25.08,65.69,9311,153,460,8,1607.506,26.415,79.417,1.381,87.7,44.9,80.43,148046,2352,5094,215,1766.997,28.072,60.799,2.566,70.28,47.32,72.15,8100,455,119,10,64.044,3.598,0.941,0.079,73.73,60.27,64.34,38416,171,4566,48,2241.978,9.98,266.474,2.801,65.49,26.87,58.45,7605,72,195,2,1402.815,13.281,35.97,0.369,97.11,52.31,81.09,29181,100,1379,27,3371.726,11.555,159.337,3.12,75.68,40.82,65.03
55,60772,1298,3854,172,1610.189,34.391,102.114,4.557,74.34,25.29,72.58,9407,96,475,15,1624.08,16.574,82.007,2.59,95.53,48.91,86.44,150383,2337,5321,227,1794.89,27.893,63.509,2.709,67.88,44.47,68.32,8582,482,136,17,67.855,3.811,1.075,0.134,67.08,53.55,47.9,38802,386,4711,145,2264.505,22.527,274.936,8.462,67.31,27.51,59.81,7667,62,202,7,1414.252,11.436,37.261,1.291,110.62,47.18,74.95,29324,143,1407,28,3388.249,16.523,162.572,3.235,73.85,38.82,59.72
56,62046,1274,4043,189,1643.944,33.755,107.122,5.008,76.92,25.24,75.32,9523,116,484,9,1644.107,20.027,83.561,1.554,94.7,49.22,87.77,152438,2055,5500,179,1819.418,24.527,65.645,2.136,62.8,44.16,72.98,9167,585,148,12,72.48,4.625,1.17,0.095,72.91,58.82,71.4,39316,514,4795,84,2294.502,29.997,279.839,4.902,69.38,27.21,61.28,7710,43,204,2,1422.183,7.932,37.63,0.369,91.74,47.27,72.16,29503,179,1422,15,3408.932,20.683,164.305,1.733,71.82,37.35,59.78
57,63496,1450,4232,189,1682.363,38.419,112.129,5.008,76.86,24.37,72.43,9670,147,493,9,1669.486,25.379,85.114,1.554,98.29,48.86,90.13,154175,1737,5640,140,1840.15,20.732,67.316,1.671,68.59,49.81,81.52,9795,628,154,6,77.445,4.965,1.218,0.047,67.95,55.07,52.6,39791,475,4893,98,2322.223,27.721,285.558,5.719,62.34,24.39,61.65,7759,49,204,0,1431.222,9.039,37.63,0,94.68,48.91,83.82,29622,119,1434,12,3422.681,13.75,165.692,1.387,66.34,35.63,55.61
58,64922,1426,4408,176,1720.145,37.783,116.792,4.663,84.86,25.12,75.74,9821,151,503,10,1695.555,26.07,86.841,1.726,100.29,48.86,91.81,155193,1018,5750,110,1852.3,12.15,68.629,1.313,70.08,48.72,70.04,10361,566,161,7,81.92,4.475,1.273,0.055,70.73,58.05,63.57,40236,445,4987,94,2348.194,25.97,291.044,5.486,60.4,26.69,64.81,7759,0,204,0,1431.222,0,37.63,0,105.28,52.53,78.55,29734,112,1466,32,3435.622,12.941,169.389,3.697,75.09,41.94,70.25
59,66434,1512,4569,161,1760.207,40.061,121.058,4.266,76.51,23.18,68.96,9983,162,506,3,1723.524,27.969,87.359,0.518,107.21,51.43,100.04,156337,1144,5913,163,1865.954,13.654,70.574,1.945,69.04,46.4,59.81,10751,390,171,10,85.004,3.084,1.352,0.079,70.45,57.19,62.52,40571,335,5056,69,2367.744,19.551,295.071,4.027,63.65,28.04,64.46,7809,50,208,4,1440.445,9.223,38.368,0.738,99.73,57.17,84.29,29822,88,1472,6,3445.79,10.168,170.083,0.693,79.94,46.51,74.23